Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
65503,LIC RAMPS,27-01,JACKSON AVENUE,Queens,26,40.74787,-73.941108,No,Non Prevailing Wage,0,0,50,164
65503,LIC RAMPS,26-32,JACKSON AVENUE,Queens,26,40.74736,-73.940892,No,Non Prevailing Wage,0,0,106,348
70016,1119 BROADWAY,1119,BROADWAY,Brooklyn,34,40.69393,-73.929356,No,Non Prevailing Wage,0,0,3,10
70017,639 FOSTER AVENUE,639,FOSTER AVENUE,Brooklyn,40,40.63082,-73.97036,No,Non Prevailing Wage,0,0,7,22
70018,THE STRAND,18-68,TROUTMAN STREET,Queens,34,40.71107,-73.917911,No,Non Prevailing Wage,0,0,40,132
70021,CONFIDENTIAL,----,----,Bronx,13,,,No,Non Prevailing Wage,0,0,2,2
70022,CONFIDENTIAL,----,----,Bronx,12,,,No,Non Prevailing Wage,0,0,1,1
70026,CONFIDENTIAL,----,----,Queens,27,,,No,Non Prevailing Wage,1,0,1,1
70027,CONFIDENTIAL,----,----,Brooklyn,45,,,No,Non Prevailing Wage,0,0,2,2
70029,CONFIDENTIAL,----,----,Brooklyn,45,,,No,Non Prevailing Wage,0,0,1,1
70030,CONFIDENTIAL,----,----,Queens,28,,,No,Non Prevailing Wage,0,2,2,2
70031,CONFIDENTIAL,----,----,Queens,30,,,No,Non Prevailing Wage,0,0,1,1
70033,CONFIDENTIAL,----,----,Bronx,13,,,No,Non Prevailing Wage,0,0,2,2
70034,CONFIDENTIAL,----,----,Queens,27,,,No,Non Prevailing Wage,0,0,1,1
70036,CONFIDENTIAL,----,----,Brooklyn,48,,,No,Non Prevailing Wage,1,0,1,1
70038,CONFIDENTIAL,----,----,Queens,21,,,No,Non Prevailing Wage,2,0,2,2
70040,CONFIDENTIAL,----,----,Queens,21,,,No,Non Prevailing Wage,0,0,1,1
70041,CONFIDENTIAL,----,----,Queens,30,,,No,Non Prevailing Wage,0,0,2,2
70043,CONFIDENTIAL,----,----,Bronx,15,,,No,Non Prevailing Wage,0,0,1,1
70047,CONFIDENTIAL,----,----,Bronx,14,,,No,Non Prevailing Wage,0,1,1,1
70006,104 LINDEN BOULEVARD,104,LINDEN BOULEVARD,Brooklyn,40,40.65206,-73.95488,No,Non Prevailing Wage,0,0,5,10
70007,2232 KIMBALL STREET,2232,KIMBALL STREET,Brooklyn,46,40.60752,-73.92429,No,Non Prevailing Wage,0,0,2,6
70008,523 WEST 173RD STREET APARTMENTS,523,WEST 173 STREET,Manhattan,10,40.84351,-73.935403,No,Non Prevailing Wage,0,0,2,8
70004,41-53 77TH STREET,41-53,77 STREET,Queens,25,40.74394,-73.887787,No,Non Prevailing Wage,0,0,3,7
70002,23-71 31ST STREET,23-71,31 STREET,Queens,22,40.77273,-73.914408,No,Non Prevailing Wage,0,0,3,10
70003,350 RUTLAND ROAD,350,RUTLAND ROAD,Brooklyn,40,40.65927,-73.949104,No,Non Prevailing Wage,0,0,2,6
68410,272 EAST 7TH STREET,272,EAST 7 STREET,Manhattan,2,40.72317,-73.977264,Yes,Non Prevailing Wage,21,0,21,21
69945,CONFIDENTIAL,----,----,Bronx,15,,,No,Non Prevailing Wage,0,0,1,1
70000,26-26 18TH STREET,26-26,18 STREET,Queens,22,40.77352,-73.927492,No,Non Prevailing Wage,0,0,3,7
70001,3506 & 3508 FARRAGUT ROAD,3506,FARRAGUT ROAD,Brooklyn,45,40.63634,-73.942899,No,Non Prevailing Wage,0,0,3,3
70001,3506 & 3508 FARRAGUT ROAD,3508,FARRAGUT ROAD,Brooklyn,45,40.63634,-73.942831,No,Non Prevailing Wage,0,0,3,13
69943,CONFIDENTIAL,----,----,Staten Island,51,,,No,Non Prevailing Wage,0,0,1,1
69998,1044 BEDFORD AVENUE,1044,BEDFORD AVENUE,Brooklyn,36,40.68917,-73.955359,No,Non Prevailing Wage,0,0,8,24
69999,938 BUSHWICK AVENUE,938,BUSHWICK AVENUE,Brooklyn,34,40.69244,-73.923999,No,Non Prevailing Wage,0,0,3,8
69997,3512/3514 FARRAGUT APARTMENTS,3514,FARRAGUT ROAD,Brooklyn,45,40.63635,-73.942687,No,Non Prevailing Wage,0,0,3,3
69997,3512/3514 FARRAGUT APARTMENTS,3512,FARRAGUT ROAD,Brooklyn,45,40.63635,-73.942759,No,Non Prevailing Wage,0,0,3,13
69996,290 UNION AVENUE,288,UNION AVENUE,Brooklyn,34,40.70911,-73.950491,No,Non Prevailing Wage,0,0,8,25
69995,102 CENTRAL AVENUE,102,CENTRAL AVENUE,Brooklyn,34,40.70033,-73.929631,No,Non Prevailing Wage,0,0,3,8
69941,CONFIDENTIAL,----,----,Bronx,14,,,No,Non Prevailing Wage,0,0,1,1
69994,1255 BEDFORD AVENUE,1255,BEDFORD AVENUE,Brooklyn,36,40.68018,-73.952979,No,Non Prevailing Wage,0,0,4,12
67691,CATHOLIC CHARITIES. 23-11 31ST ROAD. CATHERINE SHERIDAN II,23-11,31 ROAD,Queens,22,40.76591,-73.928532,No,Prevailing Wage,102,0,103,103
69992,24 CEDAR STREET,24,CEDAR STREET,Brooklyn,34,40.69622,-73.928474,No,Non Prevailing Wage,0,0,3,8
69993,3053 VILLA AVENUE,3053,VILLA AVENUE,Bronx,11,40.87338,-73.888606,No,Non Prevailing Wage,0,0,13,43
69990,3128 HENRY HUDSON PARKWAY EAST,3128,HENRY HUDSON PARKWAY,Bronx,11,40.88412,-73.914558,No,Non Prevailing Wage,0,0,14,46
69991,594 & 596 POWELL STREET,594,POWELL STREET,Brooklyn,42,40.65945,-73.901611,No,Non Prevailing Wage,0,0,2,2
69991,594 & 596 POWELL STREET,596,POWELL STREET,Brooklyn,42,40.65939,-73.901597,No,Non Prevailing Wage,0,0,3,12
69988,186 GREENPOINT AVENUE,186,GREENPOINT AVENUE,Brooklyn,33,40.73005,-73.952889,No,Non Prevailing Wage,0,0,3,10
69989,312 97TH STREET,312,97 STREET,Brooklyn,43,40.61549,-74.033987,No,Non Prevailing Wage,0,0,5,15
69942,CONFIDENTIAL,----,----,Queens,32,,,No,Non Prevailing Wage,0,0,1,1
69987,1489-1495 BROOKLYN AVENUE,233,BROOKLYN AVENUE,Brooklyn,35,40.67181,-73.944473,No,Non Prevailing Wage,0,0,3,3
69987,1489-1495 BROOKLYN AVENUE,1489,BROOKLYN AVENUE,Brooklyn,45,,,No,Non Prevailing Wage,0,0,3,13
69986,THE HYLAND,196,21 STREET,Brooklyn,38,40.66216,-73.995235,No,Non Prevailing Wage,0,0,8,26
69984,156-160 ERASMUS STREET,156,ERASMUS STREET,Brooklyn,40,40.64947,-73.950499,No,Non Prevailing Wage,0,0,3,3
69984,156-160 ERASMUS STREET,160,ERASMUS STREET,Brooklyn,40,40.64948,-73.950413,No,Non Prevailing Wage,0,0,3,17
69985,1709 PARK PLACE,1709,PARK PLACE,Brooklyn,41,40.67208,-73.920756,No,Non Prevailing Wage,0,0,3,8
69982,436 LAFAYETTE AVENUE,436,LAFAYETTE AVENUE,Brooklyn,35,40.68889,-73.957855,No,Non Prevailing Wage,0,0,3,8
69983,703 HART STREET,703,HART STREET,Brooklyn,34,40.69947,-73.925506,No,Non Prevailing Wage,0,0,8,24
69980,1515 PARK PLACE APARTMENTS,1515,PARK PLACE,Brooklyn,36,40.6726,-73.927089,No,Non Prevailing Wage,0,0,16,52
69981,18A BLEECKER STREET,18A,BLEECKER STREET,Brooklyn,34,40.69307,-73.922884,No,Non Prevailing Wage,0,0,3,8
69978,221 EAST 105TH STREET,221,EAST 105 STREET,Manhattan,8,40.79069,-73.944114,No,Non Prevailing Wage,0,0,7,23
69979,739 AND 741 FENIMORE STREET,739,FENIMORE STREET,Brooklyn,41,40.65968,-73.937916,No,Non Prevailing Wage,0,0,5,13
69977,893 WILLOUGHBY AVENUE,893,WILLOUGHBY AVENUE,Brooklyn,34,40.69625,-73.933007,No,Non Prevailing Wage,0,0,3,10
69975,124 ERASMUS STREET,124,ERASMUS STREET,Brooklyn,40,40.64944,-73.951483,No,Non Prevailing Wage,0,0,3,10
69976,379 HARMAN STREET,379,HARMAN STREET,Brooklyn,37,40.70173,-73.917432,No,Non Prevailing Wage,0,0,10,32
69974,555 GRAND STREET,555,GRAND STREET,Brooklyn,34,40.71137,-73.949321,No,Non Prevailing Wage,0,0,4,12
69973,2543 CRUGER AVENUE,2543,CRUGER AVENUE,Bronx,15,40.86454,-73.86665,No,Non Prevailing Wage,0,0,5,15
69972,746 EAST 214TH STREET,746,EAST 214 STREET,Bronx,12,40.87913,-73.863171,No,Non Prevailing Wage,0,0,3,10
69971,83 STOCKHOLM STREET,83,STOCKHOLM STREET,Brooklyn,34,40.6972,-73.925396,No,Non Prevailing Wage,0,0,3,8
69969,1098 MADISON STREET,1098,MADISON STREET,Brooklyn,37,40.69163,-73.916092,No,Non Prevailing Wage,0,0,3,8
69970,2245 CRESTON AVENUE,2245,CRESTON AVENUE,Bronx,14,40.85695,-73.901763,No,Non Prevailing Wage,0,0,5,16
69967,325 GATES AVENUE,325,GATES AVENUE,Brooklyn,36,40.68609,-73.954161,No,Non Prevailing Wage,0,0,15,48
69968,93 LINDEN STREET,405,EVERGREEN AVENUE,Brooklyn,34,40.69275,-73.920458,No,Non Prevailing Wage,0,0,21,68
68921,39-40 30TH STREET,39-40,30 STREET,Queens,26,40.75227,-73.93482,No,Non Prevailing Wage,0,0,19,103
69965,2155 CATON AVENUE,2155,CATON AVENUE,Brooklyn,40,40.65331,-73.95854,No,Non Prevailing Wage,0,0,9,30
69966,2338 2ND AVENUE,2338,2 AVENUE,Manhattan,8,40.79936,-73.935709,No,Non Prevailing Wage,0,0,9,30
69963,1431 VYSE AVENUE,1431,VYSE AVENUE,Bronx,17,40.83109,-73.889674,No,Non Prevailing Wage,0,0,4,12
69964,85 RUTLEDGE STREET,85,RUTLEDGE STREET,Brooklyn,33,40.70088,-73.959329,No,Non Prevailing Wage,0,0,3,10
69361,540 WAVERLY,540,WAVERLY AVENUE,Brooklyn,35,40.68181,-73.965928,No,Non Prevailing Wage,0,0,34,134
69962,2513 WALLACE AVENUE,2513,WALLACE AVENUE,Bronx,15,40.86454,-73.864778,No,Non Prevailing Wage,0,0,3,8
69961,486 EAST 28TH STREET,486,EAST 28 STREET,Brooklyn,45,40.63875,-73.950486,No,Non Prevailing Wage,0,0,7,22
69960,217 BOERUM STREET,217,BOERUM STREET,Brooklyn,34,40.7064,-73.939168,No,Non Prevailing Wage,0,0,3,10
69958,102 SOMERS STREET,102,SOMERS STREET,Brooklyn,37,40.67892,-73.907632,No,Non Prevailing Wage,0,0,3,8
69959,EAST 142ND STREET APARTMENTS,538,EAST 142 STREET,Bronx,8,40.80974,-73.916467,No,Non Prevailing Wage,0,0,3,3
69959,EAST 142ND STREET APARTMENTS,540,EAST 142 STREET,Bronx,8,40.80971,-73.916391,No,Non Prevailing Wage,0,0,3,13
69956,1597 LINCOLN PLACE,1597,LINCOLN PLACE,Brooklyn,41,40.66955,-73.923704,No,Non Prevailing Wage,0,0,3,9
69957,THE URBAN,144-74,NORTHERN BOULEVARD,Queens,20,40.76472,-73.820679,No,Non Prevailing Wage,0,0,31,103
69954,209-211-213 TROY AVENUE APARTMENTS,213,TROY AVENUE,Brooklyn,36,40.67209,-73.93607,No,Non Prevailing Wage,0,0,3,3
69954,209-211-213 TROY AVENUE APARTMENTS,209,TROY AVENUE,Brooklyn,36,40.67222,-73.936059,No,Non Prevailing Wage,0,0,3,18
69954,209-211-213 TROY AVENUE APARTMENTS,211,TROY AVENUE,Brooklyn,36,40.67216,-73.936066,No,Non Prevailing Wage,0,0,3,3
69955,210 PARKVILLE AVENUE,210,PARKVILLE AVENUE,Brooklyn,40,40.63098,-73.970731,No,Non Prevailing Wage,0,0,13,43
69953,ONE LIC APARTMENTS,42-06,27 STREET,Queens,26,,,No,Non Prevailing Wage,0,0,33,110
69952,277 MILFORD STREET,277,MILFORD STREET,Brooklyn,42,40.67255,-73.876306,No,Non Prevailing Wage,0,0,2,6
69950,2120 DALY AVENUE,2116,DALY AVENUE,Bronx,17,40.84496,-73.88106,No,Non Prevailing Wage,0,0,7,21
69951,610 MYRTLE AVENUE,610,MYRTLE AVENUE,Brooklyn,33,40.69392,-73.95972,No,Non Prevailing Wage,0,0,6,20
69948,3055 VALENTINE AVENUE,3055,VALENTINE AVENUE,Bronx,11,40.87402,-73.885217,No,Non Prevailing Wage,0,0,9,30
69949,81 STARR STREET,81,STARR STREET,Brooklyn,34,40.70201,-73.926531,No,Non Prevailing Wage,0,0,3,8
66574,388 RICHMOND TERRACE.HPO.FY20,388,RICHMOND TERRACE,Staten Island,49,40.64777,-74.086264,Yes,Non Prevailing Wage,0,2,122,122
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,91,EAST 18 STREET,Brooklyn,40,40.64908,-73.962666,Yes,Non Prevailing Wage,1,4,16,16
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,95,EAST 18 STREET,Brooklyn,40,40.64893,-73.962662,Yes,Non Prevailing Wage,1,4,16,16
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,280,EAST 21 STREET,Brooklyn,40,40.64769,-73.959708,Yes,Non Prevailing Wage,0,6,67,67
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,221,LINDEN BOULEVARD,Brooklyn,40,40.6531,-73.950817,Yes,Non Prevailing Wage,0,38,145,145
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,666,OCEAN AVENUE,Brooklyn,40,40.64644,-73.960764,Yes,Non Prevailing Wage,0,12,34,34
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,672,OCEAN AVENUE,Brooklyn,40,40.64623,-73.960725,Yes,Non Prevailing Wage,0,12,34,34
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,682,OCEAN AVENUE,Brooklyn,40,40.64604,-73.960685,Yes,Non Prevailing Wage,0,11,31,31
67896,PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,816,OCEAN AVENUE,Brooklyn,40,40.64256,-73.959992,Yes,Non Prevailing Wage,0,1,41,41
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,83,2 AVENUE,Manhattan,2,40.72676,-73.989368,No,Non Prevailing Wage,0,4,4,4
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,13,EAST 3 STREET,Manhattan,2,40.7262,-73.990811,No,Non Prevailing Wage,0,10,10,10
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,21,EAST 3 STREET,Manhattan,2,40.72608,-73.990486,No,Non Prevailing Wage,15,1,16,16
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,23,EAST 3 STREET,Manhattan,2,40.72605,-73.990403,No,Non Prevailing Wage,14,3,17,17
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,25,EAST 3 STREET,Manhattan,2,40.72601,-73.990327,No,Non Prevailing Wage,17,1,18,18
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,27,EAST 3 STREET,Manhattan,2,40.72596,-73.990259,No,Non Prevailing Wage,10,3,13,13
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,89,EAST 3 STREET,Manhattan,2,40.72498,-73.987881,No,Non Prevailing Wage,6,9,15,15
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,9,EAST 3 STREET,Manhattan,2,40.72626,-73.990969,No,Non Prevailing Wage,13,0,13,13
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,56,EAST 4 STREET,Manhattan,2,40.72658,-73.990944,No,Non Prevailing Wage,2,17,19,19
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,57,EAST 4 STREET,Manhattan,2,40.72705,-73.990915,No,Non Prevailing Wage,13,4,17,17
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,58,EAST 4 STREET,Manhattan,2,40.72655,-73.990865,No,Non Prevailing Wage,12,3,15,15
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,60,EAST 4 STREET,Manhattan,2,40.7265,-73.990793,No,Non Prevailing Wage,12,10,22,22
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,63,EAST 4 STREET,Manhattan,2,40.72696,-73.990674,No,Non Prevailing Wage,7,11,18,18
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,65,EAST 4 STREET,Manhattan,2,40.72692,-73.990594,No,Non Prevailing Wage,13,1,14,14
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,67,EAST 4 STREET,Manhattan,2,40.72689,-73.990515,No,Non Prevailing Wage,13,4,17,17
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,69,EAST 4 STREET,Manhattan,2,40.72685,-73.990435,No,Non Prevailing Wage,20,2,22,22
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,71,EAST 4 STREET,Manhattan,2,40.72682,-73.990356,No,Non Prevailing Wage,2,11,13,13
